name,uses_cleaned_llm
Gabanyl 300mg/500mcg Tablet,Gabanyl 300mg/500mcg Tablet is used for the management of neuropathic pain.
Glyciphage-VG1 Tablet SR,Glyciphage-VG1 Tablet SR is used for managing Type 2 diabetes mellitus.
Graniset 1 Tablet,Graniset 1 Tablet is used for managing nausea and vomiting that occur as a result of chemotherapy treatment.
Glyciphage 850 Tablet,Glyciphage 850 Tablet is utilized for the management of Type 2 diabetes mellitus.
Glimiprex 1 Tablet,Glimiprex 1 Tablet is utilized for the management of Type 2 diabetes mellitus.
Goodova 100 Capsule,Goodova 100 Capsule is utilized for the treatment of female infertility.
Glimison-MP 2 Tablet SR,Glimison-MP 2 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Glucoryl-M 2 Forte Tablet PR,Glucoryl-M 2 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glimisave 1 Tablet,Glimisave 1 Tablet is used for the treatment of Type 2 diabetes mellitus.
Glyciphage-G 1 Forte Tablet PR,Glyciphage-G 1 Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Geristart Tablet PR,Geristart Tablet PR is utilized for the management of benign prostatic hyperplasia.
Glynamic MV 2 Tablet,Glynamic MV 2 Tablet is utilized for the management of Type 2 diabetes mellitus.
Glycinorm 80 Tablet,Glycinorm 80 Tablet is used for managing Type 2 diabetes mellitus.
Gabawin 25 M Tablet,Gabawin 25 M Tablet is utilized for managing neuropathic pain.
Glimisave M 0.5 Tablet PR,Glimisave M 0.5 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gemitrol Kit,Gemitrol Kit is used for the treatment of osteoporosis.
Giftan-HC Tablet,Giftan-HC Tablet is used for managing hypertension (high blood pressure).
Gabagesic 100mg Tablet,Gabapentin 100mg Tablet is used for the management of neuropathic pain and epileptic seizures.
Gapitas-L Gel,Gapitas-L Gel is utilized for managing neuropathic pain conditions.
Gate DM BAK Free Eye Drop,Gate DM BAK Free Eye Drop is utilized for the treatment of bacterial eye infections.
Gibtulio Met 12.5mg/1000mg Tablet,Gibtulio Met 12.5mg/1000mg Tablet is used for the management of Type 2 diabetes mellitus.
Galop 10 Tablet,"Galop 10 Tablet is used for the management of depression, anxiety disorders, and panic disorders."
Glyciphage-PG 1 Tablet SR,Glyciphage-PG 1 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Gabaneuron SR 600 Tablet,Gabaneuron SR 600 Tablet is used for managing neuropathic pain.
Glynase XL- 5 Tablet,Glynase XL- 5 Tablet is used for the management of Type 2 diabetes mellitus.
Glypten-M Tablet SR,Glypten-M Tablet SR is utilized for managing Type 2 diabetes mellitus.
Goodova-L Tablet,Goodova-L Tablet is utilized for the treatment of breast cancer as well as infertility resulting from anovulation.
Genxvast 20 Tablet,Genxvast 20 Tablet is utilized for managing high cholesterol levels and preventing potential heart attacks.
Glimy M 2 Forte Tablet PR,Glimy M 2 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
GTN Sorbitrate -CR 6.4 Tablet,GTN Sorbitrate - CR 6.4 Tablet is used for the treatment of Angina.
Glimisave M1 Forte Tablet PR,Glimisave M1 Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Gestakind 10mg Tablet,"Gestakind 10mg Tablet is utilized for the management of premature labor, peripheral vascular disease, and in some instances, to induce labor."
G-Cin Tablet,G-Cin Tablet is used for treating various bacterial infections.
Gonablok 100 Capsule,"Gonablok 100 Capsule is utilized for the management of benign fibrocystic breast disease, endometriosis, premenstrual syndrome, and menstrual pain."
Gravitor SR Tablet,"Gravitor SR Tablet is utilized for the management of myasthenia gravis, paralytic ileus, and post-operative urinary retention."
Genericart Metformin Hydrochloride 1000mg Tablet SR,Genericart Metformin Hydrochloride 1000mg Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Galamer 4 Tablet,Galamer 4 Tablet is used for the treatment of Alzheimer's disease.
Genericart Nifedipine 20mg Tablet SR,"Genericart Nifedipine 20mg Tablet SR is utilized for the management of hypertension, angina, prevention of heart attacks, and stroke."
Gluconorm-Z 80 Tablet,Gluconorm-Z 80 Tablet is used for the management of Type 2 diabetes mellitus.
Glycinorm OD 30mg Tablet MR,Glycinorm OD 30mg Tablet MR is utilized for the management of Type 2 diabetes mellitus.
Glyree-M 1 Tablet PR,Glyree-M 1 Tablet PR is used for the management of Type 2 diabetes mellitus.
Glyciphage SR 850mg Tablet,Glyciphage SR 850mg Tablet is utilized for the management of Type 2 diabetes mellitus.
GP 4 Tablet,GP 4 Tablet is used for the management of Type 2 diabetes mellitus.
Gestone 400mg Capsule,Gestone 400mg Capsule is utilized for hormone replacement therapy and the management of female infertility.
Glimisave MV 1.3 Tablet SR,Glimisave MV 1.3 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Gatilox Plus  Eye Drop,Gatilox Plus Eye Drop is utilized for managing post-operative eye pain and inflammation.
Gerta Injection,Gerta Injection is utilized for the treatment of severe bacterial infections.
Glyree MV 2 Tablet PR,Glyree MV 2 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Geminor MP 1 Tablet SR,Geminor MP 1 Tablet SR is used for the management of Type 2 diabetes mellitus.
Gasofilm Oral Disintegrating Strip,Gasofilm Oral Disintegrating Strips are utilized for the relief of bloating and abdominal pain.
Glz Total Tablet,Glz Total Tablet is used for managing Type 2 diabetes mellitus.
Geftistar 250mg Tablet,Geftisart 250mg Tablet is utilized for the treatment of non-small cell lung cancer.
Glimet Tablet,Glimet Tablet is used for the management of Type 2 diabetes mellitus.
Gramoneg Oral Suspension,Gramoneg Oral Suspension is used for the treatment of various bacterial infections.
Gonal-F 300IU Solution for Injection,Gonal-F 300IU Solution for Injection is utilized in the treatment of female infertility and male hypogonadism.
Glynium Respicap,"Glynium Respicap is utilized for the treatment of chronic obstructive pulmonary disease, anesthesia, and peptic ulcer disease in a general context."
Glimestar-M4 Forte Tablet PR,Glimestar-M4 Forte Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gaba-Hosit Tablet,Gaba-Hosit Tablet is used for managing neuropathic pain.
Gabagesic M 300mg/500mcg Tablet,Gabapentin M 300mg/500mcg Tablet is used for managing neuropathic pain.
Glimestar-M 3 Tablet PR,Glimestar-M 3 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glisen MF 1 Tablet PR,Glisen MF 1 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glucoryl-M 0.5 mg Tablet,Glucoryl-M 0.5 mg Tablet is used for the management of Type 2 diabetes mellitus.
Geminor 1 Tablet,Geminor 1 Tablet is used for the treatment of Type 2 diabetes mellitus.
Gabafix-M SR Tablet,Gabafix-M SR Tablet is utilized for the management of neuropathic pain.
Glizid-M OD 60 Tablet SR,Glizid-M OD 60 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Glitaray M 1  Tablet PR,Glitaray M 1 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glimy M 0.5 Tablet PR,Glimy M 0.5 Tablet PR is used for managing Type 2 diabetes mellitus.
Gasowel Plus Syrup,"Gasowel Plus Syrup is used for managing acidity, heartburn, and stomach ulcers."
Glimestar M4 Tablet PR,Glimestar M4 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glimulin MV 2 Tablet ER,Glimulin MV 2 Tablet ER is utilized for the management of Type 2 diabetes mellitus.
GR8 Capsule,GR8 Capsule is used for the management of gastroesophageal reflux disease and peptic ulcer disease.
Glimy-MP 2 Tablet SR,Glimy-MP 2 Tablet SR is utilized for managing Type 2 diabetes mellitus.
Glycigon-M SR Tablet,Glycigon-M SR Tablet is used for the management of Type 2 diabetes mellitus.
Glimiprex MF Forte 1 Tablet PR,Glimiprex MF Forte 1 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gluconorm PG 1 Forte Tablet SR,Gluconorm PG 1 Forte Tablet SR is utilized for managing Type 2 diabetes mellitus.
Gabafix-Plus Capsule,Gabafix-Plus Capsule is utilized for managing neuropathic pain.
Glisen MF 2 Tablet PR,Glisen MF 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glemont-A Tablet SR,Glemont-A Tablet SR is utilized for the management of chronic obstructive pulmonary disease (COPD) and for alleviating symptoms such as sneezing and a runny nose resulting from allergies.
GTN Spray,GTN Spray is utilized for the treatment of angina.
Gluconorm-VG 2 Forte Tablet SR,Gluconorm-VG 2 Forte Tablet SR is utilized for managing Type 2 diabetes mellitus.
Gestofit 400 Soft Gelatin Capsule,Gestofit 400 Soft Gelatin Capsule is utilized for hormone replacement therapy and the management of female infertility.
Gabaxia 75 SR Tablet,Gabaxia 75 SR Tablet is utilized for the management of neuropathic pain.
Gestofit 400mg SR Tablet,Gestofit 400mg SR Tablet is utilized for hormone replacement therapy as well as addressing female infertility issues.
Ginkostat 60mg/800mg/5mg Tablet,Ginkostat 60mg/800mg/5mg Tablet serves as a cognitive enhancer.
Gli-M Tablet,Gli-M Tablet is utilized for the management of Type 2 diabetes mellitus.
Gabantin 400 Capsule,Gabantin 400 Capsule is used for managing neuropathic pain and epileptic seizures.
Geminor M 0.5 Tablet PR,Geminor M 0.5 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gutclear-IG Granules,Gutclear-IG Granules are used for relieving symptoms of constipation.
Gempar 1K Tablet,Gempar 1K Tablet is used for the relief of pain and reduction of fever.
Gushout Tablet,Gushout Tablet is utilized for addressing nutritional deficiencies.
Genpraz DSR Capsule,Genpraz DSR Capsule is used for the treatment of gastroesophageal reflux disease (GERD) and peptic ulcer disease.
Gestone 8% Vaginal gel,Gestone 8% Vaginal Gel is utilized for hormone replacement therapy and in the management of female infertility.
Gabalent-NT Tablet,Gabalent-NT Tablet is utilized for managing neuropathic pain.
Gabaloy-NT Tablet,Gabaloy-NT Tablet is utilized for the management of neuropathic pain conditions.
Glyree-M 2 Tablet PR,Glyree-M 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gabator 300 Tablet,Gabator 300 Tablet is utilized for managing neuropathic pain and epileptic seizures.
Gestone 200mg Capsule,Gestone 200mg Capsule is utilized for hormone replacement therapy and the management of female infertility.
Gabadon-NTP 400mg/10mg Tablet,Gabadon-NTP 400mg/10mg Tablet is used for managing neuropathic pain.
Gocan 150mg Tablet,Gocan 150mg Tablet is used for the treatment of fungal infections.
Glimestar 4 Tablet,Glimestar 4 Tablet is utilized for the management of Type 2 diabetes mellitus.
Gutclear Syrup,Gutclear Syrup is used for relieving constipation.
Gentalene Plus Cream,Gentalene Plus Cream is utilized for treating various skin infections.
Gepride M 0.5 Tablet PR,Gepride M 0.5 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gudpres-AM 25 Tablet PR,Gudpres-AM 25 Tablet PR is utilized for the management of hypertension (high blood pressure).
Glucoryl-MP2 Tablet SR,Glucoryl-MP2 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Gluconorm-G 3 Tablet PR,Gluconorm-G 3 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glimestar 3 Tablet,Glimestar 3 Tablet is utilized for the management of Type 2 diabetes mellitus.
Grandcef-CV Tablet,Grandcef-CV Tablet is used for the treatment of respiratory tract infections.
Gositis Mouth Wash,Gositis Mouth Wash is utilized for the treatment of inflammations of the gums.
Gluconorm-G 0.5 Forte Tablet PR,Gluconorm-G 0.5 Forte Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glypten Tablet,Glypten Tablet is used for the management of Type 2 diabetes mellitus.
Gluformin G 1 New Tablet PR,Gluformin G 1 New Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glyree 1 Tablet,Glyree 1 Tablet is utilized for the management of Type 2 diabetes mellitus.
Gestone Injection,Gestone Injection is utilized for hormone replacement therapy and the management of female infertility issues.
Glimisave M3 Forte Tablet PR,Glimisave M3 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gluconorm SR 850 Tablet,Gluconorm SR 850 Tablet is utilized for the management of Type 2 diabetes mellitus.
Gluconorm-G 4 Tablet PR,Gluconorm-G 4 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glimisave M4 Forte Tablet PR,Glimisave M4 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gravidol 200mg Tablet,"Gravidol 200mg Tablet is utilized for the management of hypertension (high blood pressure), angina (chest pain due to reduced blood flow to the heart), and prevention of heart attacks and strokes."
Glimison-MP 1 Tablet SR,Glimison-MP 1 Tablet SR is used for the management of Type 2 diabetes mellitus.
Glucoryl 1 Tablet,Glucoryl 1 Tablet is used for the management of Type 2 diabetes mellitus.
Geminor M 3 Forte Tablet PR,Geminor M 3 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glimisave 2 Tablet,Glimisave 2 Tablet is used for the management of Type 2 diabetes mellitus.
Gabawok-NT 100 Tablet,Gabawok-NT 100 Tablet is utilized for the management of neuropathic pain.
Glenpar 500mg Tablet,Glenpar 500mg Tablet is utilized for providing pain relief and reducing fever symptoms.
Glipon MF Forte Tablet ER,Glipizide Modified-Release Forte Tablet (ER) is used for the management of type 2 diabetes mellitus.
Gabadon 300mg Tablet,Gabadon 300mg Tablet is utilized for the management of neuropathic pain and epileptic seizures.
Giftan 50 Tablet,"Giftan 50 Tablet is utilized for managing hypertension, preventing heart failure, and offering protection against heart attacks and strokes."
Gluformin XL New 500 Tablet PR,Gluformin XL New 500 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glucored Forte 850 Tablet,Glucored Forte 850 Tablet is utilized for managing Type 2 diabetes mellitus.
Glucoryl-M4 Forte Tablet PR,Glucoryl-M4 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gabanyt 400mg/10mg Tablet,Gabanyt 400mg/10mg Tablet is used for managing neuropathic pain conditions.
Gris ODT Cream,Gris ODT Cream is utilized for the treatment of fungal skin infections.
GLZ MEX 60mg/500mg Tablet,GLZ MEX 60mg/500mg Tablet is used for the management of Type 2 diabetes mellitus.
Glisen VM 2 Tablet SR,Glisen VM 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Gliclaz M 80 mg/500 mg Tablet,Gliclazide M 80 mg/500 mg Tablet is used for the management of Type 2 diabetes mellitus.
Galop 5 Tablet,"Galop 5 Tablet is utilized for managing depression, anxiety disorders, and panic disorders."
Glyciphage P 15 mg/500 mg Tablet SR,Glyciphage P 15 mg/500 mg Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Glimaday 2 Tablet PR,Glimaday 2 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glycigon Tablet,Glycigon Tablet is utilized for the management of Type 2 diabetes mellitus.
Glimp 1 Tablet,Glimp 1 Tablet is used for the management of Type 2 diabetes mellitus.
Goutfree 40 Tablet ER,Goutfree 40 Tablet ER is used specifically for managing gout conditions.
Glimp 2 Tablet,Glimp 2 Tablet is used for the management of Type 2 diabetes mellitus.
Glychek-M Plus Tablet,Glychek-M Plus Tablet is utilized for managing Type 2 diabetes mellitus.
Grenil 5mg/250mg Suspension,Grenil 5mg/250mg Suspension is used for the treatment of migraines.
Gepride M 3 Tablet PR,Gepride M 3 Tablet PR is used for the management of Type 2 diabetes mellitus.
Glimulin-MF Tablet PR,Glimulin-MF Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glycinorm Total 30 Tablet SR,Glycinorm Total 30 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
